sku,name,brand,category,price,short_description,long_description,attributes
SKU-0019,JBL Charge 5,JBL,Bluetooth Speakers,159.0,Rugged portable speaker that doubles as a power bank.,"Presented by Fnac.fr. The Charge 5 delivers loud, balanced sound with an IP67 rating for outdoor use, plus a USB port to charge your phone. Up to 20 hours of playtime makes it a dependable companion for trips and gatherings.","{""color"": ""Black"", ""power_output_w"": 40, ""battery_life_hours"": 20, ""water_resistance"": ""IP67"", ""weight_g"": 960}"
SKU-0020,Bose SoundLink Flex,Bose,Bluetooth Speakers,149.0,Compact waterproof speaker with full sound.,"Presented by Fnac.fr. The SoundLink Flex packs surprisingly full sound into a pocketable, IP67-rated body that floats. With around 12 hours of battery and a utility loop for hanging, it suits the beach, the shower, or the backpack.","{""color"": ""Stone Blue"", ""power_output_w"": 20, ""battery_life_hours"": 12, ""water_resistance"": ""IP67"", ""weight_g"": 590}"
SKU-0021,Sonos Move 2,Sonos,Bluetooth Speakers,449.0,Portable smart speaker with room-filling stereo sound.,"Presented by Fnac.fr. The Move 2 brings stereo sound and Wi-Fi streaming to a portable, weather-resistant design that works at home or outdoors. Up to 24 hours of battery and automatic tuning make it a flexible all-rounder.","{""color"": ""Black"", ""power_output_w"": 80, ""battery_life_hours"": 24, ""water_resistance"": ""IPX4"", ""weight_g"": 3000}"
SKU-0022,Ultimate Ears BOOM 4,Ultimate Ears,Bluetooth Speakers,129.0,"360-degree sound in a rugged, waterproof barrel.","Presented by Fnac.fr. The BOOM 4 delivers 360-degree audio in a durable, IP67-rated body built to take a knock. With about 15 hours of battery and a buoyant design, it is made for poolside and outdoor use.","{""color"": ""Black"", ""power_output_w"": 30, ""battery_life_hours"": 15, ""water_resistance"": ""IP67"", ""weight_g"": 640}"
SKU-0023,Sony ULT Field 1,Sony,Bluetooth Speakers,129.0,Compact speaker with extra bass for outdoor listening.,"Presented by Fnac.fr. The ULT Field 1 adds a dedicated bass boost button to a compact, IP67-rated design for parties on the move. Up to 12 hours of battery and a carry strap make it easy to take anywhere.","{""color"": ""Black"", ""power_output_w"": 30, ""battery_life_hours"": 12, ""water_resistance"": ""IP67"", ""weight_g"": 640}"
SKU-0024,Marshall Emberton III,Marshall,Bluetooth Speakers,169.0,Vintage-styled portable speaker with 360-degree sound.,Presented by Fnac.fr. The Emberton III wraps 360-degree audio in Marshall's classic styling with an IP67-rated body. Around 32 hours of battery and a compact form make it a stylish choice for desk or travel.,"{""color"": ""Black"", ""power_output_w"": 30, ""battery_life_hours"": 32, ""water_resistance"": ""IP67"", ""weight_g"": 700}"
SKU-0025,Anker Soundcore Motion 300,Anker,Bluetooth Speakers,79.0,Affordable hi-res speaker with wide stereo sound.,Presented by Fnac.fr. The Soundcore Motion 300 supports hi-res audio with a wide stereo field at a budget-friendly price. An IPX7 rating and up to 13 hours of battery make it a versatile pick for home and outdoor use.,"{""color"": ""Blue"", ""power_output_w"": 30, ""battery_life_hours"": 13, ""water_resistance"": ""IPX7"", ""weight_g"": 750}"
SKU-0026,Bang & Olufsen Beosound A1 (2nd Gen),Bang & Olufsen,Bluetooth Speakers,279.0,Premium portable speaker with refined sound.,"Presented by Fnac.fr. The Beosound A1 pairs an aluminium design with balanced, room-filling sound and voice assistant support. An IP67 rating and around 18 hours of battery make it a premium grab-and-go option.","{""color"": ""Black"", ""power_output_w"": 140, ""battery_life_hours"": 18, ""water_resistance"": ""IP67"", ""weight_g"": 600}"
SKU-0027,Tribit StormBox Micro 2,Tribit,Bluetooth Speakers,59.0,Pocket-sized speaker with a built-in strap.,"Presented by Fnac.fr. The StormBox Micro 2 fits in a palm yet delivers clear sound, with a strap to clip onto a bag or bike. An IP67 rating and about 12 hours of battery make it a handy travel and outdoor speaker.","{""color"": ""Black"", ""power_output_w"": 10, ""battery_life_hours"": 12, ""water_resistance"": ""IP67"", ""weight_g"": 290}"
SKU-0028,Apple MacBook Air 13 (M3),Apple,Laptops,1199.0,"Thin, fanless laptop with all-day battery for everyday work.","Presented by Fnac.fr. The MacBook Air 13 with the M3 chip handles everyday work and creative tasks in a silent, fanless design. A bright Liquid Retina display and long battery life make it a portable choice for students and professionals.","{""color"": ""Midnight"", ""screen_size_in"": 13.6, ""ram_gb"": 16, ""storage_gb"": 512, ""processor"": ""Apple M3"", ""operating_system"": ""macOS""}"
SKU-0029,Dell XPS 13,Dell,Laptops,1299.0,Compact premium ultrabook for productivity on the move.,Presented by Fnac.fr. The Dell XPS 13 pairs a sharp display with a slim aluminium chassis for mobile professionals. Efficient Intel processors and a comfortable keyboard make it a capable daily driver for office and travel.,"{""color"": ""Platinum"", ""screen_size_in"": 13.4, ""ram_gb"": 16, ""storage_gb"": 512, ""processor"": ""Intel Core Ultra 7"", ""operating_system"": ""Windows 11""}"
SKU-0030,Lenovo ThinkPad X1 Carbon Gen 12,Lenovo,Laptops,1699.0,Lightweight business laptop with a durable build.,Presented by Fnac.fr. The ThinkPad X1 Carbon Gen 12 combines a light carbon-fibre chassis with a renowned keyboard for business users. Strong security features and a matte display make it a dependable choice for work and travel.,"{""color"": ""Black"", ""screen_size_in"": 14.0, ""ram_gb"": 32, ""storage_gb"": 1024, ""processor"": ""Intel Core Ultra 7"", ""operating_system"": ""Windows 11""}"
SKU-0031,ASUS ROG Zephyrus G14,ASUS,Laptops,1899.0,Compact gaming laptop with a high-refresh OLED display.,Presented by Fnac.fr. The ROG Zephyrus G14 packs discrete graphics and a fast OLED display into a 14-inch chassis for gaming and creative work. A solid build and capable cooling make it a portable performance option.,"{""color"": ""Platinum White"", ""screen_size_in"": 14.0, ""ram_gb"": 32, ""storage_gb"": 1024, ""processor"": ""AMD Ryzen 9"", ""operating_system"": ""Windows 11""}"
SKU-0032,HP Spectre x360 14,HP,Laptops,1549.0,Convertible laptop with a bright OLED touchscreen.,Presented by Fnac.fr. The Spectre x360 14 folds into a tablet and stylus-ready slate for flexible note-taking and presentations. A vivid OLED touchscreen and premium build suit professionals who want a 2-in-1.,"{""color"": ""Nightfall Black"", ""screen_size_in"": 14.0, ""ram_gb"": 16, ""storage_gb"": 1024, ""processor"": ""Intel Core Ultra 7"", ""operating_system"": ""Windows 11""}"
SKU-0033,Acer Swift Go 14,Acer,Laptops,899.0,Lightweight everyday laptop with a crisp display.,Presented by Fnac.fr. The Swift Go 14 offers a light chassis and an OLED display for students and everyday productivity. A balanced set of ports and solid battery life make it a practical mid-range pick.,"{""color"": ""Silver"", ""screen_size_in"": 14.0, ""ram_gb"": 16, ""storage_gb"": 512, ""processor"": ""Intel Core Ultra 5"", ""operating_system"": ""Windows 11""}"
SKU-0034,Microsoft Surface Laptop 7,Microsoft,Laptops,1199.0,Sleek laptop with a touchscreen and long battery life.,Presented by Fnac.fr. The Surface Laptop 7 combines an Arm-based processor with a touchscreen and quiet operation for office work. Long battery life and a clean design make it a comfortable choice for daily productivity.,"{""color"": ""Sapphire"", ""screen_size_in"": 13.8, ""ram_gb"": 16, ""storage_gb"": 512, ""processor"": ""Snapdragon X Elite"", ""operating_system"": ""Windows 11""}"
SKU-0035,Google Pixelbook Go,Google,Laptops,649.0,Lightweight ChromeOS laptop for web-first workflows.,"Presented by Fnac.fr. The Pixelbook Go runs ChromeOS for fast, web-focused work with a comfortable keyboard and long battery life. Its light design and quick boot make it a simple option for browsing, documents, and study.","{""color"": ""Just Black"", ""screen_size_in"": 13.3, ""ram_gb"": 16, ""storage_gb"": 256, ""processor"": ""Intel Core i5"", ""operating_system"": ""ChromeOS""}"
SKU-0036,Framework Laptop 13,Framework,Laptops,1099.0,"Repairable, upgradeable laptop with swappable ports.","Presented by Fnac.fr. The Framework Laptop 13 is built for repair and upgrades, with user-replaceable parts and swappable expansion cards. It ships ready for Windows or Linux, appealing to tinkerers and longevity-minded buyers.","{""color"": ""Silver"", ""screen_size_in"": 13.5, ""ram_gb"": 32, ""storage_gb"": 1024, ""processor"": ""Intel Core Ultra 7"", ""operating_system"": ""Linux""}"
SKU-0037,Apple iPad Air 11 (M2),Apple,Tablets,699.0,Versatile tablet for creativity and everyday use.,"Presented by Fnac.fr. The iPad Air 11 with the M2 chip handles drawing, note-taking, and media with Apple Pencil Pro support. A bright Liquid Retina display and strong app library make it a flexible everyday tablet.","{""color"": ""Blue"", ""screen_size_in"": 11.0, ""storage_gb"": 128, ""connectivity"": ""Wi-Fi"", ""operating_system"": ""iPadOS""}"
SKU-0038,Apple iPad Pro 13 (M4),Apple,Tablets,1499.0,High-performance tablet with a tandem OLED display.,Presented by Fnac.fr. The iPad Pro 13 with the M4 chip targets creative professionals with a bright tandem OLED display. Apple Pencil Pro support and laptop-class performance make it a capable tool for art and video.,"{""color"": ""Space Black"", ""screen_size_in"": 13.0, ""storage_gb"": 512, ""connectivity"": ""Wi-Fi + Cellular"", ""operating_system"": ""iPadOS""}"
SKU-0039,Samsung Galaxy Tab S9,Samsung,Tablets,799.0,Premium Android tablet with an included S Pen.,Presented by Fnac.fr. The Galaxy Tab S9 pairs a vivid AMOLED display with a bundled S Pen for notes and sketching. A water-resistant design and desktop-style DeX mode make it productive at home or on the go.,"{""color"": ""Graphite"", ""screen_size_in"": 11.0, ""storage_gb"": 256, ""connectivity"": ""Wi-Fi"", ""operating_system"": ""Android""}"
SKU-0040,Samsung Galaxy Tab S9 FE,Samsung,Tablets,549.0,Mid-range Android tablet with S Pen support.,"Presented by Fnac.fr. The Galaxy Tab S9 FE offers a large display and bundled S Pen at a more accessible price. A durable, water-resistant build makes it a practical choice for study and casual creativity.","{""color"": ""Mint"", ""screen_size_in"": 10.9, ""storage_gb"": 128, ""connectivity"": ""Wi-Fi + Cellular"", ""operating_system"": ""Android""}"
SKU-0041,Lenovo Tab P12,Lenovo,Tablets,379.0,Large-screen tablet for media and family use.,"Presented by Fnac.fr. The Lenovo Tab P12 features a big, sharp display and bundled pen for media, browsing, and notes. Quad speakers and a long-lasting battery make it a comfortable tablet for the living room.","{""color"": ""Storm Grey"", ""screen_size_in"": 12.7, ""storage_gb"": 128, ""connectivity"": ""Wi-Fi"", ""operating_system"": ""Android""}"
SKU-0042,Microsoft Surface Pro 11,Microsoft,Tablets,1199.0,A tablet that runs full Windows with a kickstand.,"Presented by Fnac.fr. The Surface Pro 11 runs full Windows 11 in a tablet form, with a built-in kickstand and optional keyboard. An Arm-based processor and long battery life make it a flexible 2-in-1 for work.","{""color"": ""Platinum"", ""screen_size_in"": 13.0, ""storage_gb"": 256, ""connectivity"": ""Wi-Fi"", ""operating_system"": ""Windows 11""}"
SKU-0043,Xiaomi Pad 6,Xiaomi,Tablets,349.0,Affordable tablet with a high-refresh display.,Presented by Fnac.fr. The Xiaomi Pad 6 offers a smooth high-refresh display and capable performance at a value price. Quad speakers and solid battery life make it a good fit for streaming and light productivity.,"{""color"": ""Gravity Grey"", ""screen_size_in"": 11.0, ""storage_gb"": 128, ""connectivity"": ""Wi-Fi"", ""operating_system"": ""Android""}"
SKU-0044,Amazon Fire Max 11,Amazon,Tablets,249.0,"Budget tablet for media, reading, and browsing.","Presented by Fnac.fr. The Fire Max 11 provides a large screen and long battery life for streaming, reading, and web browsing. A sturdy aluminium build and optional keyboard make it a practical low-cost tablet.","{""color"": ""Grey"", ""screen_size_in"": 11.0, ""storage_gb"": 64, ""connectivity"": ""Wi-Fi"", ""operating_system"": ""Android""}"
SKU-0045,Apple iPad (10th gen),Apple,Tablets,449.0,Colourful everyday tablet for the whole household.,"Presented by Fnac.fr. The 10th-generation iPad brings a colourful, all-screen design for browsing, video, and schoolwork. Apple Pencil support and a wide app library make it an approachable everyday tablet.","{""color"": ""Yellow"", ""screen_size_in"": 10.9, ""storage_gb"": 64, ""connectivity"": ""Wi-Fi + Cellular"", ""operating_system"": ""iPadOS""}"
SKU-0046,Dell UltraSharp U2723QE,Dell,Monitors,599.0,Colour-accurate 4K monitor with USB-C hub.,Presented by Fnac.fr. The UltraSharp U2723QE delivers a sharp 4K IPS panel with wide colour coverage for creative and office work. A built-in USB-C hub with power delivery simplifies single-cable laptop setups.,"{""screen_size_in"": 27, ""resolution"": ""3840x2160"", ""refresh_rate_hz"": 60, ""panel_type"": ""IPS"", ""ports"": ""USB-C, HDMI, DisplayPort""}"
SKU-0047,LG UltraGear 27GP850,LG,Monitors,399.0,Fast IPS gaming monitor with high refresh rate.,Presented by Fnac.fr. The UltraGear 27GP850 pairs a 1440p IPS panel with a high refresh rate for responsive gaming. Quick response times and adaptive sync support make it a strong mid-range gaming display.,"{""screen_size_in"": 27, ""resolution"": ""2560x1440"", ""refresh_rate_hz"": 165, ""panel_type"": ""IPS"", ""ports"": ""HDMI, DisplayPort""}"
SKU-0048,Samsung Odyssey OLED G9,Samsung,Monitors,1299.0,Ultrawide OLED monitor for immersive gaming.,"Presented by Fnac.fr. The Odyssey OLED G9 spans a curved 49-inch OLED panel for an immersive, wraparound gaming view. A high refresh rate and deep contrast make it a centrepiece for sim and strategy players.","{""screen_size_in"": 49, ""resolution"": ""5120x1440"", ""refresh_rate_hz"": 240, ""panel_type"": ""OLED"", ""ports"": ""HDMI, DisplayPort, USB-C""}"
SKU-0049,ASUS ProArt PA279CV,ASUS,Monitors,469.0,Calibrated 4K monitor for creative professionals.,Presented by Fnac.fr. The ProArt PA279CV offers a factory-calibrated 4K IPS panel with wide sRGB coverage for content creators. USB-C connectivity and ergonomic adjustments support precise photo and design work.,"{""screen_size_in"": 27, ""resolution"": ""3840x2160"", ""refresh_rate_hz"": 60, ""panel_type"": ""IPS"", ""ports"": ""USB-C, HDMI, DisplayPort""}"
SKU-0050,BenQ PD2706U,BenQ,Monitors,549.0,Designer 4K monitor with accurate colour out of the box.,Presented by Fnac.fr. The PD2706U targets designers with a colour-accurate 4K IPS panel and dedicated colour modes. A USB-C hub and ergonomic stand make it a tidy fit for design and video workstations.,"{""screen_size_in"": 27, ""resolution"": ""3840x2160"", ""refresh_rate_hz"": 60, ""panel_type"": ""IPS"", ""ports"": ""USB-C, HDMI, DisplayPort""}"
SKU-0051,Gigabyte M27Q,Gigabyte,Monitors,299.0,Versatile 1440p monitor with a built-in KVM.,Presented by Fnac.fr. The Gigabyte M27Q combines a fast 1440p panel with a built-in KVM switch for managing two devices. A high refresh rate and USB-C input make it a flexible pick for work and play.,"{""screen_size_in"": 27, ""resolution"": ""2560x1440"", ""refresh_rate_hz"": 170, ""panel_type"": ""IPS"", ""ports"": ""USB-C, HDMI, DisplayPort""}"
SKU-0052,MSI MAG 274QRF QD,MSI,Monitors,329.0,Quantum-dot gaming monitor with rich colour.,Presented by Fnac.fr. The MAG 274QRF QD uses a quantum-dot IPS panel for vivid colour and a fast refresh rate aimed at gamers. Low response times and adaptive sync keep fast-paced games smooth.,"{""screen_size_in"": 27, ""resolution"": ""2560x1440"", ""refresh_rate_hz"": 170, ""panel_type"": ""IPS"", ""ports"": ""HDMI, DisplayPort, USB-C""}"
SKU-0053,AOC 24G2,AOC,Monitors,169.0,Affordable 1080p gaming monitor with fast refresh.,Presented by Fnac.fr. The AOC 24G2 delivers a 1080p IPS panel with a high refresh rate at a budget-friendly price. Adaptive sync and slim bezels make it a popular entry-level gaming display.,"{""screen_size_in"": 24, ""resolution"": ""1920x1080"", ""refresh_rate_hz"": 144, ""panel_type"": ""IPS"", ""ports"": ""HDMI, DisplayPort, VGA""}"
SKU-0054,ViewSonic VP2786-4K,ViewSonic,Monitors,699.0,Professional 4K monitor with a built-in colour sensor.,Presented by Fnac.fr. The VP2786-4K offers a 4K IPS panel with a self-calibrating colour sensor for demanding creative work. Wide colour gamuts and accurate output suit photo and video professionals.,"{""screen_size_in"": 27, ""resolution"": ""3840x2160"", ""refresh_rate_hz"": 60, ""panel_type"": ""IPS"", ""ports"": ""USB-C, HDMI, DisplayPort""}"
SKU-0055,Apple iPhone 15 Pro,Apple,Smartphones,1229.0,Pro-grade cameras and performance in a titanium frame.,Presented by Fnac.fr. The iPhone 15 Pro pairs a titanium design with a capable triple-camera system and the A17 Pro chip. A bright display and USB-C connectivity make it a strong choice for photography and everyday use.,"{""color"": ""Natural Titanium"", ""screen_size_in"": 6.1, ""storage_gb"": 256, ""ram_gb"": 8, ""operating_system"": ""iOS"", ""camera_mp"": 48}"
SKU-0056,Samsung Galaxy S24 Ultra,Samsung,Smartphones,1449.0,Flagship Android phone with a built-in S Pen.,"Presented by Fnac.fr. The Galaxy S24 Ultra combines a large, bright display with a versatile camera system and bundled S Pen. A titanium frame and long software support make it a top-tier Android choice.","{""color"": ""Titanium Grey"", ""screen_size_in"": 6.8, ""storage_gb"": 512, ""ram_gb"": 12, ""operating_system"": ""Android"", ""camera_mp"": 200}"
SKU-0057,Google Pixel 8 Pro,Google,Smartphones,1099.0,Smart camera features and clean Android software.,Presented by Fnac.fr. The Pixel 8 Pro focuses on computational photography and clean Android with years of guaranteed updates. A bright display and helpful on-device AI features make it a refined everyday phone.,"{""color"": ""Obsidian"", ""screen_size_in"": 6.7, ""storage_gb"": 256, ""ram_gb"": 12, ""operating_system"": ""Android"", ""camera_mp"": 50}"
SKU-0058,OnePlus 12,OnePlus,Smartphones,949.0,Fast flagship with rapid charging and a bright screen.,"Presented by Fnac.fr. The OnePlus 12 offers flagship performance, a bright high-refresh display, and very fast wired charging. A capable Hasselblad-tuned camera makes it a value-focused premium choice.","{""color"": ""Flowy Emerald"", ""screen_size_in"": 6.8, ""storage_gb"": 256, ""ram_gb"": 16, ""operating_system"": ""Android"", ""camera_mp"": 50}"
SKU-0059,Apple iPhone 15,Apple,Smartphones,949.0,Reliable everyday iPhone with a 48MP camera.,"Presented by Fnac.fr. The iPhone 15 brings a 48MP main camera, the Dynamic Island, and USB-C to the standard model. Solid performance and long software support make it a dependable everyday smartphone.","{""color"": ""Pink"", ""screen_size_in"": 6.1, ""storage_gb"": 128, ""ram_gb"": 6, ""operating_system"": ""iOS"", ""camera_mp"": 48}"
SKU-0060,Xiaomi 14,Xiaomi,Smartphones,999.0,Compact flagship with Leica-tuned cameras.,Presented by Fnac.fr. The Xiaomi 14 packs flagship performance and Leica-tuned cameras into a compact body. A bright display and fast charging make it a capable choice for photography enthusiasts.,"{""color"": ""Black"", ""screen_size_in"": 6.36, ""storage_gb"": 512, ""ram_gb"": 12, ""operating_system"": ""Android"", ""camera_mp"": 50}"
SKU-0061,Nothing Phone (2),Nothing,Smartphones,679.0,Distinctive design with a clean Android experience.,"Presented by Fnac.fr. The Nothing Phone (2) stands out with its Glyph lighting and a clean, lightweight Android build. A bright display and balanced performance make it a stylish mid-premium option.","{""color"": ""White"", ""screen_size_in"": 6.7, ""storage_gb"": 256, ""ram_gb"": 12, ""operating_system"": ""Android"", ""camera_mp"": 50}"
SKU-0062,Motorola Edge 50 Pro,Motorola,Smartphones,599.0,Curved-screen phone with fast charging.,Presented by Fnac.fr. The Edge 50 Pro offers a curved high-refresh display and very fast charging at a mid-range price. A capable camera setup and clean software make it a well-rounded daily phone.,"{""color"": ""Luxe Lavender"", ""screen_size_in"": 6.7, ""storage_gb"": 512, ""ram_gb"": 12, ""operating_system"": ""Android"", ""camera_mp"": 50}"
SKU-0063,Samsung Galaxy A55,Samsung,Smartphones,479.0,Mid-range phone with a premium feel.,"Presented by Fnac.fr. The Galaxy A55 brings a metal frame, a bright display, and long software support to the mid-range. A dependable camera and large battery make it a practical everyday choice.","{""color"": ""Awesome Iceblue"", ""screen_size_in"": 6.6, ""storage_gb"": 256, ""ram_gb"": 8, ""operating_system"": ""Android"", ""camera_mp"": 50}"
